stasiun,DKA,SET,RAS,KUA,PAN,CKK,CIL,CWG,HAL,JBU,CK1,CK2,BEK,JTM,HAR,KAM,CRC,TMI
DKA,5000,5000,5700,7100,8500,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
SET,5000,5000,5000,6400,7800,9200,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
RAS,5700,5000,5000,5000,6400,7800,8500,9200,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
KUA,7100,6400,5000,5000,5700,7100,7800,8500,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
PAN,8500,7800,6400,5700,5000,5700,6400,7100,9200,10000,10000,10000,10000,10000,10000,10000,10000,10000
CKK,9900,9200,7800,7100,5700,5000,5000,5700,7800,10000,10000,10000,10000,10000,10000,10000,10000,9900
CIL,10000,9900,8500,7800,6400,5000,5000,5000,7100,9900,10000,10000,10000,10000,10000,10000,10000,9200
CWG,10000,10000,9200,8500,7100,5700,5000,5000,7100,9200,10000,10000,10000,10000,10000,9900,10000,8500
HAL,10000,10000,10000,10000,9200,7800,7100,7100,5000,7100,9200,9900,10000,10000,10000,10000,10000,10000
JBU,10000,10000,10000,10000,10000,10000,9900,9200,7100,5000,6400,7100,9200,10000,10000,10000,10000,10000
CK1,10000,10000,10000,10000,10000,10000,10000,10000,9200,6400,5000,5000,7800,9900,10000,10000,10000,10000
CK2,10000,10000,10000,10000,10000,10000,10000,10000,9900,7100,5000,5000,7100,9200,10000,10000,10000,10000
BEK,10000,10000,10000,10000,10000,10000,10000,10000,10000,9200,7800,7100,5000,6400,10000,10000,10000,10000
JTM,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9200,6400,5000,10000,10000,10000,10000
HAR,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,5000,9200,8500,10000
KAM,10000,10000,10000,10000,10000,10000,10000,9900,10000,10000,10000,10000,10000,10000,9200,5000,5700,5700
CRC,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,8500,5700,5000,7100
TMI,10000,10000,10000,10000,10000,9900,9200,8500,10000,10000,10000,10000,10000,10000,10000,5700,7100,5000
