stasiun,DKA,SET,RAS,KUA,PAN,CKK,CIL,CWG,HAL,JBU,CK1,CK2,BEK,JTM,HAR,KAM,CRC,TMI
DKA,5000,5000,5700,7100,8500,9900,10600,11300,13400,16200,18300,19000,20000,20000,20000,16200,17600,14800
SET,5000,5000,5000,6400,7800,9200,9900,10600,12700,15500,17600,18300,20000,20000,20000,15500,16900,14100
RAS,5700,5000,5000,5000,6400,7800,8500,9200,12000,14100,16200,16900,19700,20000,19700,14800,16200,13400
KUA,7100,6400,5000,5000,5700,7100,7800,8500,11300,13400,15500,16200,19000,20000,19000,14100,15500,12700
PAN,8500,7800,6400,5700,5000,5700,6400,7100,9200,12000,14100,14800,17600,19700,17600,12700,13400,11300
CKK,9900,9200,7800,7100,5700,5000,5000,5700,7800,10600,12700,13400,16200,18300,16200,11300,12000,9900
CIL,10600,9900,8500,7800,6400,5000,5000,5000,7100,9900,12000,12700,15500,17600,15500,10600,11300,9200
CWG,11300,10600,9200,8500,7100,5700,5000,5000,7100,9200,11300,12000,14800,16900,14800,9900,11300,8500
HAL,13400,12700,12000,11300,9200,7800,7100,7100,5000,7100,9200,9900,12000,14800,17600,12000,13400,10600
JBU,16200,15500,14100,13400,12000,10600,9900,9200,7100,5000,6400,7100,9200,12000,20000,14800,16200,13400
CK1,18300,17600,16200,15500,14100,12700,12000,11300,9200,6400,5000,5000,7800,9900,20000,16900,18300,15500
CK2,19000,18300,16900,16200,14800,13400,12700,12000,9900,7100,5000,5000,7100,9200,20000,17600,19000,16200
BEK,20000,20000,19700,19000,17600,16200,15500,14800,12000,9200,7800,7100,5000,6400,20000,20000,20000,19000
JTM,20000,20000,20000,20000,19700,18300,17600,16900,14800,12000,9900,9200,6400,5000,20000,20000,20000,20000
HAR,20000,20000,19700,19000,17600,16200,15500,14800,17600,20000,20000,20000,20000,20000,5000,9200,8500,10600
KAM,16200,15500,14800,14100,12700,11300,10600,9900,12000,14800,16900,17600,20000,20000,9200,5000,5700,5700
CRC,17600,16900,16200,15500,13400,12000,11300,11300,13400,16200,18300,19000,20000,20000,8500,5700,5000,7100
TMI,14800,14100,13400,12700,11300,9900,9200,8500,10600,13400,15500,16200,19000,20000,10600,5700,7100,5000
