trip_id,DKA,SET,RAS,KUA,PAN,CKK,CIL,CWG,TMI,KAM,CRC,HAR
CB-WE-DKA-HAR-001,6:28,6:31,6:34,6:37,6:43,6:47,6:49,6:53,7:03,7:08,7:11,7:18
CB-WE-DKA-HAR-002,6:47,6:50,6:53,6:56,7:02,7:06,7:08,7:12,7:22,7:27,7:30,7:37
CB-WE-DKA-HAR-003,7:06,7:09,7:12,7:15,7:21,7:25,7:27,7:31,7:41,7:46,7:49,7:56
CB-WE-DKA-HAR-004,7:25,7:28,7:31,7:34,7:40,7:44,7:46,7:50,8:00,8:05,8:08,8:15
CB-WE-DKA-HAR-005,7:44,7:47,7:50,7:53,7:59,8:03,8:05,8:09,8:19,8:24,8:27,8:34
CB-WE-DKA-HAR-006,8:03,8:06,8:09,8:12,8:18,8:22,8:24,8:28,8:38,8:43,8:46,8:53
CB-WE-DKA-HAR-007,8:22,8:25,8:28,8:31,8:37,8:41,8:43,8:47,8:57,9:02,9:05,9:12
CB-WE-DKA-HAR-008,8:41,8:44,8:47,8:50,8:56,9:00,9:02,9:06,9:16,9:21,9:24,9:31
CB-WE-DKA-HAR-009,9:00,9:03,9:06,9:09,9:15,9:19,9:21,9:25,9:35,9:40,9:43,9:50
CB-WE-DKA-HAR-010,9:19,9:22,9:25,9:28,9:34,9:38,9:40,9:44,9:54,9:59,10:02,10:09
CB-WE-DKA-HAR-011,9:38,9:41,9:44,9:47,9:53,9:57,9:59,10:03,10:13,10:18,10:21,10:28
CB-WE-DKA-HAR-012,9:57,10:00,10:03,10:06,10:12,10:16,10:18,10:22,10:32,10:37,10:40,10:47
CB-WE-DKA-HAR-013,10:09,10:13,10:16,10:19,10:24,10:28,10:30,10:34,10:45,10:49,10:53,10:59
CB-WE-DKA-HAR-014,10:22,10:25,10:28,10:31,10:37,10:41,10:43,10:47,10:57,11:02,11:05,11:12
CB-WE-DKA-HAR-015,10:34,10:38,10:41,10:44,10:49,10:53,10:55,10:59,11:10,11:14,11:18,11:24
