trip_id,DKA,SET,RAS,KUA,PAN,CKK,CIL,CWG,HAL,JBU,CK1,CK2,BEK,JTM
BK-WE-DKA-JTM-001,6:21,6:24,6:27,6:30,6:35,6:39,6:42,6:45,6:50,6:56,7:00,7:04,7:08,7:12
BK-WE-DKA-JTM-002,6:40,6:43,6:46,6:49,6:54,6:58,7:01,7:04,7:09,7:15,7:19,7:23,7:27,7:31
BK-WE-DKA-JTM-003,6:59,7:02,7:05,7:08,7:13,7:17,7:20,7:23,7:28,7:34,7:38,7:42,7:46,7:50
BK-WE-DKA-JTM-004,7:18,7:21,7:24,7:27,7:32,7:36,7:39,7:42,7:47,7:53,7:57,8:01,8:05,8:09
BK-WE-DKA-JTM-005,7:37,7:40,7:43,7:46,7:51,7:55,7:58,8:01,8:06,8:12,8:16,8:20,8:24,8:28
BK-WE-DKA-JTM-006,7:56,7:59,8:02,8:05,8:10,8:14,8:17,8:20,8:25,8:31,8:35,8:39,8:43,8:47
BK-WE-DKA-JTM-007,8:15,8:18,8:21,8:24,8:29,8:33,8:36,8:39,8:44,8:50,8:54,8:58,9:02,9:06
BK-WE-DKA-JTM-008,8:34,8:37,8:40,8:43,8:48,8:52,8:55,8:58,9:03,9:09,9:13,9:17,9:21,9:25
BK-WE-DKA-JTM-009,8:53,8:56,8:59,9:02,9:07,9:11,9:14,9:17,9:22,9:28,9:32,9:36,9:40,9:44
BK-WE-DKA-JTM-010,9:12,9:15,9:18,9:21,9:26,9:30,9:33,9:36,9:41,9:47,9:51,9:55,9:59,10:03
BK-WE-DKA-JTM-011,9:31,9:34,9:37,9:40,9:45,9:49,9:52,9:55,10:00,10:06,10:10,10:14,10:18,10:22
BK-WE-DKA-JTM-012,9:50,9:53,9:56,9:59,10:04,10:08,10:11,10:14,10:19,10:25,10:29,10:33,10:37,10:41
BK-WE-DKA-JTM-013,10:04,10:07,10:11,10:13,10:19,10:23,10:25,10:28,10:33,10:40,10:44,10:47,10:52,10:56
