trip_id,HAR,CRC,KAM,TMI,CWG,CIL,CKK,PAN,KUA,RAS,SET,DKA
CB-WD-HAR-DKA-001,5:18,5:25,5:29,5:33,5:43,5:46,5:49,5:52,5:57,6:00,6:03,6:06
CB-WD-HAR-DKA-002,5:26,5:34,5:37,5:41,5:52,5:54,5:57,6:01,6:06,6:08,6:11,6:14
CB-WD-HAR-DKA-003,5:35,5:42,5:45,5:49,6:00,6:03,6:05,6:09,6:14,6:17,6:19,6:22
CB-WD-HAR-DKA-004,5:43,5:50,5:53,5:58,6:08,6:11,6:13,6:17,6:22,6:25,6:28,6:30
CB-WD-HAR-DKA-005,5:51,5:58,6:02,6:06,6:16,6:19,6:22,6:25,6:30,6:33,6:36,6:39
CB-WD-HAR-DKA-006,5:59,6:07,6:10,6:14,6:25,6:27,6:30,6:34,6:39,6:41,6:44,6:47
CB-WD-HAR-DKA-007,6:08,6:15,6:18,6:22,6:33,6:36,6:38,6:42,6:47,6:50,6:52,6:55
CB-WD-HAR-DKA-008,6:16,6:23,6:26,6:31,6:41,6:44,6:46,6:50,6:55,6:58,7:01,7:03
CB-WD-HAR-DKA-009,6:24,6:31,6:35,6:39,6:49,6:52,6:55,6:58,7:03,7:06,7:09,7:12
CB-WD-HAR-DKA-010,6:32,6:40,6:43,6:47,6:58,7:00,7:03,7:07,7:12,7:14,7:17,7:20
CB-WD-HAR-DKA-011,6:41,6:48,6:51,6:55,7:06,7:09,7:11,7:15,7:20,7:23,7:25,7:28
CB-WD-HAR-DKA-012,6:49,6:56,6:59,7:04,7:14,7:17,7:19,7:23,7:28,7:31,7:34,7:36
CB-WD-HAR-DKA-013,6:57,7:04,7:08,7:12,7:22,7:25,7:28,7:31,7:36,7:39,7:42,7:45
CB-WD-HAR-DKA-014,7:05,7:13,7:16,7:20,7:31,7:33,7:36,7:40,7:45,7:47,7:50,7:53
CB-WD-HAR-DKA-015,7:14,7:21,7:24,7:28,7:39,7:42,7:44,7:48,7:53,7:56,7:58,8:01
CB-WD-HAR-DKA-016,7:22,7:29,7:32,7:37,7:47,7:50,7:52,7:56,8:01,8:04,8:07,8:09
