trip_id,HAR,CRC,KAM,TMI,CWG,CIL,CKK,PAN,KUA,RAS,SET,DKA
CB-WE-HAR-DKA-001,5:35,5:42,5:45,5:50,6:00,6:03,6:06,6:10,6:15,6:18,6:21,6:23
CB-WE-HAR-DKA-002,5:54,6:01,6:04,6:09,6:19,6:22,6:25,6:29,6:34,6:37,6:40,6:42
CB-WE-HAR-DKA-003,6:13,6:20,6:23,6:28,6:38,6:41,6:44,6:48,6:53,6:56,6:59,7:01
CB-WE-HAR-DKA-004,6:32,6:39,6:42,6:47,6:57,7:00,7:03,7:07,7:12,7:15,7:18,7:20
CB-WE-HAR-DKA-005,6:51,6:58,7:01,7:06,7:16,7:19,7:22,7:26,7:31,7:34,7:37,7:39
CB-WE-HAR-DKA-006,7:10,7:17,7:20,7:25,7:35,7:38,7:41,7:45,7:50,7:53,7:56,7:58
CB-WE-HAR-DKA-007,7:29,7:36,7:39,7:44,7:54,7:57,8:00,8:04,8:09,8:12,8:15,8:17
CB-WE-HAR-DKA-008,7:48,7:55,7:58,8:03,8:13,8:16,8:19,8:23,8:28,8:31,8:34,8:36
CB-WE-HAR-DKA-009,8:07,8:14,8:17,8:22,8:32,8:35,8:38,8:42,8:47,8:50,8:53,8:55
CB-WE-HAR-DKA-010,8:26,8:33,8:36,8:41,8:51,8:54,8:57,9:01,9:06,9:09,9:12,9:14
CB-WE-HAR-DKA-011,8:45,8:52,8:55,9:00,9:10,9:13,9:16,9:20,9:25,9:28,9:31,9:33
CB-WE-HAR-DKA-012,9:04,9:11,9:14,9:19,9:29,9:32,9:35,9:39,9:44,9:47,9:50,9:52
CB-WE-HAR-DKA-013,9:16,9:23,9:27,9:31,9:42,9:45,9:47,9:51,9:56,9:59,10:02,10:05
CB-WE-HAR-DKA-014,9:29,9:36,9:39,9:44,9:54,9:57,10:00,10:04,10:09,10:12,10:15,10:17
CB-WE-HAR-DKA-015,9:41,9:48,9:52,9:56,10:07,10:10,10:12,10:16,10:21,10:24,10:27,10:30
CB-WE-HAR-DKA-016,9:54,10:01,10:04,10:09,10:19,10:22,10:25,10:29,10:34,10:37,10:40,10:42
CB-WE-HAR-DKA-017,10:06,10:13,10:17,10:21,10:32,10:35,10:37,10:41,10:46,10:49,10:52,10:55
CB-WE-HAR-DKA-018,10:19,10:26,10:29,10:34,10:44,10:47,10:50,10:54,10:59,11:02,11:05,11:07
CB-WE-HAR-DKA-019,10:31,10:38,10:42,10:46,10:57,11:00,11:02,11:06,11:11,11:14,11:17,11:20
CB-WE-HAR-DKA-020,10:44,10:51,10:54,10:59,11:09,11:12,11:15,11:19,11:24,11:27,11:30,11:32
CB-WE-HAR-DKA-021,10:56,11:03,11:07,11:11,11:22,11:25,11:27,11:31,11:36,11:39,11:42,11:45
CB-WE-HAR-DKA-022,11:09,11:16,11:19,11:24,11:34,11:37,11:40,11:44,11:49,11:52,11:55,11:57
CB-WE-HAR-DKA-023,11:21,11:28,11:32,11:36,11:47,11:50,11:52,11:56,12:01,12:04,12:07,12:10
CB-WE-HAR-DKA-024,11:34,11:41,11:44,11:49,11:59,12:02,12:05,12:09,12:14,12:17,12:20,12:22
CB-WE-HAR-DKA-025,11:46,11:53,11:57,12:01,12:12,12:15,12:17,12:21,12:26,12:29,12:32,12:35
CB-WE-HAR-DKA-026,11:59,12:06,12:09,12:14,12:24,12:27,12:30,12:34,12:39,12:42,12:45,12:47
CB-WE-HAR-DKA-027,12:11,12:18,12:22,12:26,12:37,12:40,12:42,12:46,12:51,12:54,12:57,13:00
CB-WE-HAR-DKA-028,12:24,12:31,12:34,12:39,12:49,12:52,12:55,12:59,13:04,13:07,13:10,13:12
CB-WE-HAR-DKA-029,12:36,12:43,12:47,12:51,13:02,13:05,13:07,13:11,13:16,13:19,13:22,13:25
CB-WE-HAR-DKA-030,12:49,12:56,12:59,13:04,13:14,13:17,13:20,13:24,13:29,13:32,13:35,13:37
CB-WE-HAR-DKA-031,13:01,13:08,13:12,13:16,13:27,13:30,13:32,13:36,13:41,13:44,13:47,13:50
CB-WE-HAR-DKA-032,13:14,13:21,13:24,13:29,13:39,13:42,13:45,13:49,13:54,13:57,14:00,14:02
CB-WE-HAR-DKA-033,13:26,13:33,13:37,13:41,13:52,13:55,13:57,14:01,14:06,14:09,14:12,14:15
CB-WE-HAR-DKA-034,13:39,13:46,13:49,13:54,14:04,14:07,14:10,14:14,14:19,14:22,14:25,14:27
CB-WE-HAR-DKA-035,13:51,13:58,14:02,14:06,14:17,14:20,14:22,14:26,14:31,14:34,14:37,14:40
CB-WE-HAR-DKA-036,14:04,14:11,14:14,14:19,14:29,14:32,14:35,14:39,14:44,14:47,14:50,14:52
CB-WE-HAR-DKA-037,14:16,14:23,14:27,14:31,14:42,14:45,14:47,14:51,14:56,14:59,15:02,15:05
CB-WE-HAR-DKA-038,14:29,14:36,14:39,14:44,14:54,14:57,15:00,15:04,15:09,15:12,15:15,15:17
CB-WE-HAR-DKA-039,14:41,14:48,14:52,14:56,15:07,15:10,15:12,15:16,15:21,15:24,15:27,15:30
CB-WE-HAR-DKA-040,14:54,15:01,15:04,15:09,15:19,15:22,15:25,15:29,15:34,15:37,15:40,15:42
CB-WE-HAR-DKA-041,15:06,15:13,15:17,15:21,15:32,15:35,15:37,15:41,15:46,15:49,15:52,15:55
CB-WE-HAR-DKA-042,15:19,15:26,15:29,15:34,15:44,15:47,15:50,15:54,15:59,16:02,16:05,16:07
CB-WE-HAR-DKA-043,15:31,15:38,15:42,15:46,15:57,16:00,16:02,16:06,16:11,16:14,16:17,16:20
CB-WE-HAR-DKA-044,15:44,15:51,15:54,15:59,16:09,16:12,16:15,16:19,16:24,16:27,16:30,16:32
