trip_id,JTM,BEK,CK2,CK1,JBU,HAL,CWG,CIL,CKK,PAN,KUA,RAS,SET,DKA
BK-WE-JTM-DKA-001,5:25,5:29,5:34,5:37,5:41,5:48,5:53,5:56,5:59,6:02,6:08,6:10,6:14,6:16
BK-WE-JTM-DKA-002,5:44,5:48,5:53,5:56,6:00,6:07,6:12,6:15,6:18,6:21,6:27,6:29,6:33,6:35
BK-WE-JTM-DKA-003,6:03,6:07,6:12,6:15,6:19,6:26,6:31,6:34,6:37,6:40,6:46,6:48,6:52,6:54
BK-WE-JTM-DKA-004,6:22,6:26,6:31,6:34,6:38,6:45,6:50,6:53,6:56,6:59,7:05,7:07,7:11,7:13
BK-WE-JTM-DKA-005,6:41,6:45,6:50,6:53,6:57,7:04,7:09,7:12,7:15,7:18,7:24,7:26,7:30,7:32
BK-WE-JTM-DKA-006,7:00,7:04,7:09,7:12,7:16,7:23,7:28,7:31,7:34,7:37,7:43,7:45,7:49,7:51
BK-WE-JTM-DKA-007,7:19,7:23,7:28,7:31,7:35,7:42,7:47,7:50,7:53,7:56,8:02,8:04,8:08,8:10
BK-WE-JTM-DKA-008,7:38,7:42,7:47,7:50,7:54,8:01,8:06,8:09,8:12,8:15,8:21,8:23,8:27,8:29
BK-WE-JTM-DKA-009,7:57,8:01,8:06,8:09,8:13,8:20,8:25,8:28,8:31,8:34,8:40,8:42,8:46,8:48
BK-WE-JTM-DKA-010,8:16,8:20,8:25,8:28,8:32,8:39,8:44,8:47,8:50,8:53,8:59,9:01,9:05,9:07
BK-WE-JTM-DKA-011,8:35,8:39,8:44,8:47,8:51,8:58,9:03,9:06,9:09,9:12,9:18,9:20,9:24,9:26
BK-WE-JTM-DKA-012,8:54,8:58,9:03,9:06,9:10,9:17,9:22,9:25,9:28,9:31,9:37,9:39,9:43,9:45
BK-WE-JTM-DKA-013,9:08,9:13,9:17,9:21,9:25,9:31,9:36,9:39,9:42,9:46,9:51,9:54,9:57,10:00
BK-WE-JTM-DKA-014,9:21,9:25,9:30,9:33,9:37,9:44,9:49,9:52,9:55,9:58,10:04,10:06,10:10,10:12
BK-WE-JTM-DKA-015,9:33,9:37,9:42,9:46,9:50,9:56,10:01,10:04,10:07,10:11,10:16,10:19,10:22,10:25
BK-WE-JTM-DKA-016,9:46,9:50,9:55,9:58,10:02,10:09,10:14,10:17,10:20,10:23,10:29,10:31,10:35,10:37
BK-WE-JTM-DKA-017,9:58,10:03,10:07,10:11,10:15,10:21,10:26,10:29,10:32,10:36,10:41,10:44,10:47,10:50
BK-WE-JTM-DKA-018,10:11,10:15,10:20,10:23,10:27,10:34,10:39,10:42,10:45,10:48,10:54,10:56,11:00,11:02
BK-WE-JTM-DKA-019,10:23,10:28,10:32,10:36,10:40,10:46,10:51,10:54,10:57,11:01,11:06,11:09,11:12,11:15
